epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1593.36,1.40031,0.70505,1.60883,0.09758,0.01812,0.00328,0.00079,1.31871,0.79613,2.23662,0.0670167,0.000333165,0.000333165
2,3166.31,0.92261,1.04717,0.84324,0.09101,0.11914,0.02061,0.00926,0.82157,1.43028,1.07397,0.0340101,0.0006599,0.0006599
3,4735.11,0.64088,1.35144,0.48364,0.15733,0.20674,0.0572,0.03196,0.57263,1.59753,0.64195,0.000996904,0.000980035,0.000980035
4,6300.82,0.55671,1.41358,0.41804,0.19966,0.18572,0.05478,0.03239,0.57514,1.65913,0.66057,0.0009703,0.0009703,0.0009703
5,7866.34,0.52578,1.38535,0.38938,0.21975,0.18428,0.06978,0.04298,0.49632,1.64834,0.53815,0.0009604,0.0009604,0.0009604
6,9430.84,0.52994,1.34414,0.39348,0.17252,0.23531,0.0893,0.0557,0.48363,1.70183,0.53105,0.0009505,0.0009505,0.0009505
7,10992.7,0.50276,1.34095,0.36925,0.28204,0.25648,0.14237,0.09097,0.45732,1.50768,0.49414,0.0009406,0.0009406,0.0009406
8,12555.2,0.49726,1.29159,0.36451,0.27417,0.2482,0.16085,0.10789,0.4426,1.52687,0.46899,0.0009307,0.0009307,0.0009307
9,14116.4,0.48592,1.28291,0.35618,0.25341,0.29663,0.14202,0.09516,0.44202,1.46059,0.48401,0.0009208,0.0009208,0.0009208
10,15679,0.47662,1.2363,0.34714,0.31196,0.30658,0.19149,0.12892,0.44334,1.4063,0.48511,0.0009109,0.0009109,0.0009109
11,17242.6,0.47172,1.24449,0.34383,0.2784,0.25927,0.16007,0.10388,0.4896,1.38216,0.6097,0.000901,0.000901,0.000901
12,18806.7,0.45652,1.21818,0.33635,0.30465,0.3492,0.23759,0.16388,0.40513,1.36752,0.42198,0.0008911,0.0008911,0.0008911
13,20373.8,0.47266,1.20499,0.35143,0.30581,0.31372,0.23311,0.15637,0.43297,1.31796,0.46124,0.0008812,0.0008812,0.0008812
14,21942.4,0.4582,1.18138,0.33467,0.35831,0.37797,0.2933,0.20862,0.41135,1.24452,0.43464,0.0008713,0.0008713,0.0008713
15,23510.7,0.45623,1.15215,0.33312,0.30956,0.2996,0.22288,0.15036,0.45368,1.33996,0.48486,0.0008614,0.0008614,0.0008614
16,25075.8,0.44521,1.15468,0.32704,0.35533,0.36615,0.26361,0.18189,0.42784,1.26945,0.48837,0.0008515,0.0008515,0.0008515
17,26641.2,0.44115,1.12875,0.32043,0.36972,0.41232,0.30185,0.21609,0.39775,1.23201,0.42187,0.0008416,0.0008416,0.0008416
18,28208,0.44016,1.12355,0.32285,0.35177,0.41834,0.29913,0.21384,0.41675,1.18556,0.4422,0.0008317,0.0008317,0.0008317
19,29768.6,0.42927,1.11087,0.3133,0.39016,0.41758,0.31548,0.22573,0.38848,1.17895,0.41522,0.0008218,0.0008218,0.0008218
20,31329.3,0.42656,1.09046,0.31355,0.42047,0.41734,0.32844,0.23387,0.39159,1.21448,0.40958,0.0008119,0.0008119,0.0008119
21,32893.1,0.42847,1.07532,0.31488,0.39846,0.4439,0.34195,0.24252,0.38938,1.18679,0.41116,0.000802,0.000802,0.000802
22,34457.4,0.43098,1.06397,0.31388,0.41317,0.43009,0.37059,0.26977,0.38454,1.14448,0.40104,0.0007921,0.0007921,0.0007921
23,36020.9,0.41975,1.05121,0.30583,0.45261,0.41936,0.3933,0.28801,0.37876,1.13768,0.40406,0.0007822,0.0007822,0.0007822
24,37584.3,0.41695,1.02722,0.30252,0.47878,0.46156,0.4132,0.30543,0.37073,1.09733,0.38844,0.0007723,0.0007723,0.0007723
25,39147.8,0.41847,1.01048,0.30807,0.48229,0.46859,0.42157,0.30559,0.39762,1.05897,0.43137,0.0007624,0.0007624,0.0007624
26,40713,0.41294,1.00838,0.3041,0.51652,0.47282,0.44186,0.32431,0.3844,1.04661,0.41183,0.0007525,0.0007525,0.0007525
27,42278.8,0.40546,0.99147,0.29843,0.48303,0.52272,0.45186,0.33575,0.36617,1.03655,0.39257,0.0007426,0.0007426,0.0007426
